City,Hotel_Name,Rating,Price_Per_Night
Asansol,Majestic Vibrant Haven,4,76
Asansol,Royal Elegant Lodge,4,89
Asansol,Noble Star Manor,3,106
Asansol,Premier Vibrant Manor,5,188
Asansol,Golden Classic Lodge,4,209
Asansol,Premier Modern Manor,1,393
Asansol,Golden Vibrant Suites,1,232
Asansol,Premier Star Resort,1,302
Tanakpur,Golden Chic Manor,3,226
Tanakpur,Premier Tranquil Resort,3,450
Tanakpur,Imperial Star Haven,4,127
Tanakpur,Royal Luxury Haven,1,119
Tanakpur,Imperial Comfort Manor,5,473
Tanakpur,Elite Luxury Suites,5,471
Tanakpur,Premier Luxury Palace,2,477
Tanakpur,Regal Tranquil Resort,4,345
Tanakpur,Majestic Luxury Retreat,2,389
Tanakpur,Elite Chic Plaza,3,57
Tanakpur,Silver Elegant Resort,3,107
Tanakpur,Premier Comfort Haven,2,158
Tanakpur,Royal Comfort Resort,4,373
Tanakpur,Premier Chic Inn,2,497
Tanakpur,Elite Star Suites,5,280
Tanakpur,Royal Serene Haven,5,153
Tanakpur,Grand Elegant Haven,5,416
Tanakpur,Imperial Serene Retreat,4,330
Tanakpur,Silver Luxury Retreat,3,394
Tanakpur,Imperial Star Resort,3,469
Botad,Imperial Comfort Retreat,3,70
Botad,Imperial Comfort Suites,1,103
Botad,Royal Tranquil Plaza,4,273
Botad,Majestic Serene Hotel,2,135
Botad,Elite Luxury Suites,5,223
Botad,Elite Tranquil Inn,2,171
Botad,Silver Serene Suites,4,156
Botad,Regal Tranquil Resort,2,226
Botad,Golden Chic Inn,1,84
Botad,Golden Classic Palace,2,104
Botad,Noble Tranquil Retreat,2,66
Botad,Grand Elegant Inn,2,278
Botad,Noble Elegant Manor,4,84
Botad,Elite Chic Hotel,3,337
Botad,Imperial Classic Lodge,1,261
Botad,Imperial Classic Manor,4,416
Botad,Majestic Star Suites,3,490
Botad,Noble Star Palace,5,375
Botad,Majestic Star Resort,5,240
Botad,Silver Luxury Retreat,1,377
Muzaffarpur,Noble Chic Inn,3,129
Muzaffarpur,Noble Vibrant Haven,4,171
Muzaffarpur,Royal Classic Lodge,5,222
Muzaffarpur,Grand Comfort Hotel,3,324
Muzaffarpur,Regal Elegant Lodge,4,468
Muzaffarpur,Noble Classic Plaza,5,82
Muzaffarpur,Royal Chic Hotel,3,464
Muzaffarpur,Golden Tranquil Resort,3,301
Muzaffarpur,Elite Vibrant Suites,2,486
Muzaffarpur,Elite Luxury Palace,1,484
Muzaffarpur,Silver Luxury Inn,2,434
Muzaffarpur,Noble Chic Hotel,2,304
Muzaffarpur,Majestic Luxury Resort,4,294
Muzaffarpur,Premier Star Retreat,2,468
Muzaffarpur,Premier Vibrant Manor,1,192
Muzaffarpur,Royal Vibrant Palace,2,243
Muzaffarpur,Imperial Vibrant Palace,1,446
Muzaffarpur,Grand Modern Haven,5,491
Muzaffarpur,Grand Star Manor,1,77
Muzaffarpur,Premier Luxury Retreat,4,185
Biramitrapur,Royal Tranquil Inn,3,490
Biramitrapur,Premier Star Haven,3,486
Biramitrapur,Silver Luxury Haven,5,303
Biramitrapur,Grand Comfort Hotel,2,256
Biramitrapur,Royal Chic Resort,2,338
Biramitrapur,Grand Chic Manor,4,183
Biramitrapur,Grand Elegant Lodge,4,398
Biramitrapur,Silver Elegant Inn,5,211
Biramitrapur,Regal Luxury Palace,2,82
Biramitrapur,Noble Comfort Inn,2,100
Biramitrapur,Imperial Serene Plaza,2,238
Biramitrapur,Elite Classic Resort,1,58
Biramitrapur,Imperial Vibrant Manor,3,362
Biramitrapur,Noble Chic Hotel,2,258
Biramitrapur,Royal Serene Lodge,2,54
Biramitrapur,Noble Star Plaza,5,326
Biramitrapur,Elite Elegant Haven,1,234
Biramitrapur,Grand Vibrant Hotel,1,383
Biramitrapur,Grand Tranquil Lodge,4,382
Biramitrapur,Premier Luxury Retreat,2,94
Patan,Majestic Star Haven,3,222
Patan,Grand Modern Retreat,3,164
Patan,Noble Modern Plaza,4,251
Patan,Grand Vibrant Retreat,3,139
Patan,Silver Classic Retreat,1,285
Patan,Imperial Chic Resort,5,103
Patan,Royal Luxury Manor,1,74
Patan,Golden Comfort Inn,3,273
Patan,Royal Modern Lodge,1,96
Patan,Imperial Elegant Palace,2,200
Patan,Silver Modern Palace,1,312
Patan,Noble Modern Inn,2,279
Patan,Noble Serene Manor,2,399
Patan,Imperial Modern Haven,3,478
Patan,Majestic Chic Manor,4,86
Patan,Golden Luxury Resort,1,492
Patan,Majestic Modern Resort,5,212
Patan,Elite Luxury Inn,4,255
Patan,Majestic Vibrant Resort,3,443
Patan,Premier Comfort Manor,5,109
Kolkata Sealdah,Regal Luxury Plaza,5,83
Kolkata Sealdah,Regal Comfort Lodge,5,491
Kolkata Sealdah,Grand Classic Inn,2,499
Kolkata Sealdah,Noble Comfort Haven,4,348
Kolkata Sealdah,Royal Star Resort,4,64
Kolkata Sealdah,Imperial Elegant Plaza,4,437
Kolkata Sealdah,Majestic Classic Manor,2,168
Kolkata Sealdah,Silver Serene Inn,1,487
Kolkata Sealdah,Royal Comfort Inn,5,318
Kolkata Sealdah,Noble Luxury Plaza,1,157
Kolkata Sealdah,Regal Comfort Retreat,1,419
Kolkata Sealdah,Premier Chic Suites,3,77
Kolkata Sealdah,Regal Tranquil Suites,2,250
Kolkata Sealdah,Regal Chic Hotel,1,420
Kolkata Sealdah,Premier Serene Resort,5,332
Kolkata Sealdah,Elite Star Plaza,5,193
Kolkata Sealdah,Imperial Vibrant Lodge,2,407
Kolkata Sealdah,Noble Classic Manor,5,148
Kolkata Sealdah,Elite Serene Inn,1,354
Kolkata Sealdah,Royal Modern Retreat,2,247
Pipar,Imperial Comfort Lodge,4,295
Pipar,Silver Classic Hotel,4,486
Pipar,Noble Comfort Retreat,1,155
Pipar,Silver Star Hotel,2,147
Pipar,Royal Elegant Retreat,1,257
Pipar,Elite Luxury Suites,3,476
Pipar,Silver Modern Haven,3,341
Pipar,Regal Elegant Resort,5,50
Pipar,Premier Tranquil Plaza,2,454
Pipar,Majestic Classic Inn,1,376
Pipar,Imperial Vibrant Manor,1,495
Pipar,Golden Tranquil Lodge,3,482
Pipar,Golden Chic Retreat,4,185
Pipar,Noble Star Inn,3,145
Pipar,Elite Modern Plaza,1,181
Pipar,Elite Comfort Plaza,2,226
Pipar,Regal Serene Hotel,4,420
Pipar,Regal Serene Lodge,5,83
Pipar,Noble Serene Inn,4,425
Pipar,Imperial Classic Resort,1,266
Buxar,Noble Star Lodge,5,402
Buxar,Golden Comfort Haven,4,348
Buxar,Imperial Tranquil Haven,3,167
Buxar,Grand Comfort Hotel,4,484
Buxar,Grand Vibrant Manor,1,344
Buxar,Grand Vibrant Haven,1,449
Buxar,Regal Comfort Retreat,4,441
Buxar,Majestic Classic Inn,2,247
Buxar,Noble Modern Resort,3,344
Buxar,Grand Modern Lodge,3,462
Buxar,Silver Modern Inn,5,300
Buxar,Silver Modern Manor,2,199
Buxar,Silver Comfort Lodge,4,216
Buxar,Premier Luxury Plaza,2,387
Buxar,Noble Elegant Retreat,1,204
Buxar,Premier Serene Retreat,3,113
Buxar,Noble Classic Manor,4,476
Buxar,Golden Comfort Hotel,1,74
Buxar,Grand Comfort Plaza,1,106
Buxar,Silver Luxury Retreat,1,385
Howrah,Grand Classic Palace,5,251
Howrah,Regal Comfort Lodge,1,130
Howrah,Noble Comfort Retreat,3,147
Howrah,Noble Comfort Plaza,1,386
Howrah,Premier Vibrant Resort,5,107
Howrah,Golden Classic Haven,2,201
Howrah,Silver Serene Manor,5,277
Howrah,Grand Serene Palace,4,210
Howrah,Noble Modern Inn,4,229
Howrah,Elite Star Retreat,4,97
Howrah,Majestic Star Lodge,1,206
Howrah,Royal Serene Manor,2,283
Howrah,Silver Modern Resort,5,226
Howrah,Imperial Chic Manor,4,301
Howrah,Royal Serene Lodge,4,379
Howrah,Imperial Serene Haven,3,53
Howrah,Regal Serene Hotel,3,375
Howrah,Golden Comfort Hotel,4,493
Howrah,Golden Modern Manor,1,401
Howrah,Majestic Star Manor,3,443
Barddhaman,Grand Classic Palace,5,244
Barddhaman,Imperial Luxury Haven,3,143
Barddhaman,Premier Serene Haven,1,220
Barddhaman,Majestic Star Resort,2,202
Barddhaman,Royal Star Manor,2,208
Barddhaman,Golden Elegant Retreat,1,361
Barddhaman,Majestic Luxury Plaza,2,414
Barddhaman,Regal Elegant Plaza,4,471
Barddhaman,Silver Chic Palace,1,101
Barddhaman,Grand Modern Palace,1,346
Barddhaman,Grand Star Plaza,1,141
Barddhaman,Imperial Luxury Inn,2,222
Barddhaman,Elite Modern Lodge,1,174
Barddhaman,Imperial Classic Plaza,4,196
Barddhaman,Regal Serene Plaza,3,217
Barddhaman,Imperial Classic Lodge,2,448
Barddhaman,Noble Tranquil Resort,1,205
Barddhaman,Golden Classic Plaza,3,394
Barddhaman,Royal Comfort Haven,2,400
Barddhaman,Grand Elegant Resort,3,253
New Delhi,Royal Modern Haven,2,357
New Delhi,Grand Vibrant Plaza,5,370
New Delhi,Regal Vibrant Resort,2,435
New Delhi,Premier Elegant Retreat,3,89
New Delhi,Grand Comfort Haven,1,174
New Delhi,Premier Comfort Suites,3,345
New Delhi,Noble Luxury Manor,5,80
New Delhi,Elite Luxury Retreat,4,362
New Delhi,Elite Chic Lodge,3,189
New Delhi,Royal Tranquil Palace,4,202
New Delhi,Noble Star Inn,1,187
New Delhi,Imperial Elegant Lodge,1,85
New Delhi,Noble Elegant Retreat,4,231
New Delhi,Imperial Tranquil Manor,3,405
New Delhi,Majestic Modern Resort,5,149
New Delhi,Regal Luxury Lodge,5,462
New Delhi,Imperial Comfort Resort,2,330
New Delhi,Regal Star Palace,1,249
New Delhi,Imperial Classic Resort,1,336
New Delhi,Majestic Star Manor,5,110
Lingampalli,Regal Elegant Suites,5,401
Lingampalli,Silver Elegant Retreat,5,128
Lingampalli,Royal Luxury Suites,5,343
Lingampalli,Silver Luxury Haven,5,262
Lingampalli,Golden Serene Palace,1,355
Lingampalli,Elite Luxury Retreat,2,79
Lingampalli,Elite Elegant Lodge,5,347
Lingampalli,Noble Modern Suites,2,198
Lingampalli,Majestic Chic Retreat,3,253
Lingampalli,Silver Serene Resort,2,104
Lingampalli,Grand Comfort Resort,3,58
Lingampalli,Majestic Chic Hotel,5,327
Lingampalli,Imperial Tranquil Retreat,5,405
Lingampalli,Golden Chic Inn,2,230
Lingampalli,Royal Elegant Lodge,2,123
Lingampalli,Regal Luxury Resort,1,127
Lingampalli,Majestic Comfort Resort,5,253
Lingampalli,Grand Classic Hotel,1,246
Lingampalli,Regal Tranquil Plaza,1,89
Lingampalli,Royal Serene Haven,3,202
Hyderabad Deccan,Majestic Star Haven,1,480
Hyderabad Deccan,Golden Chic Plaza,2,134
Hyderabad Deccan,Premier Tranquil Lodge,2,157
Hyderabad Deccan,Royal Vibrant Inn,5,401
Hyderabad Deccan,Grand Elegant Plaza,2,430
Hyderabad Deccan,Noble Comfort Haven,5,175
Hyderabad Deccan,Elite Elegant Retreat,4,384
Hyderabad Deccan,Regal Comfort Resort,1,72
Hyderabad Deccan,Noble Elegant Resort,2,293
Hyderabad Deccan,Golden Elegant Suites,1,483
Hyderabad Deccan,Royal Modern Lodge,4,113
Hyderabad Deccan,Golden Chic Inn,2,306
Hyderabad Deccan,Majestic Serene Inn,1,340
Hyderabad Deccan,Premier Luxury Hotel,1,68
Hyderabad Deccan,Majestic Comfort Haven,3,273
Hyderabad Deccan,Golden Star Lodge,5,53
Hyderabad Deccan,Noble Vibrant Resort,3,261
Hyderabad Deccan,Grand Luxury Manor,3,175
Hyderabad Deccan,Elite Elegant Haven,5,166
Hyderabad Deccan,Imperial Luxury Retreat,2,263
Mangalore,Premier Tranquil Resort,2,446
Mangalore,Premier Modern Hotel,2,323
Mangalore,Elite Comfort Hotel,1,323
Mangalore,Regal Modern Lodge,5,396
Mangalore,Grand Classic Retreat,4,276
Mangalore,Premier Comfort Palace,4,453
Mangalore,Premier Star Manor,4,291
Mangalore,Majestic Vibrant Lodge,4,280
Mangalore,Noble Classic Inn,2,316
Mangalore,Royal Vibrant Manor,2,493
Mangalore,Majestic Classic Resort,5,138
Mangalore,Elite Vibrant Suites,1,86
Mangalore,Regal Tranquil Resort,2,196
Mangalore,Majestic Luxury Hotel,5,444
Mangalore,Grand Vibrant Lodge,1,100
Mangalore,Elite Chic Hotel,3,435
Mangalore,Royal Elegant Plaza,5,109
Mangalore,Majestic Classic Suites,2,374
Mangalore,Imperial Tranquil Resort,1,70
Mangalore,Imperial Serene Manor,1,300
Digha,Grand Tranquil Palace,5,140
Digha,Imperial Tranquil Hotel,5,213
Digha,Royal Chic Inn,1,156
Digha,Imperial Elegant Suites,5,227
Digha,Elite Comfort Inn,5,73
Digha,Majestic Classic Palace,1,381
Digha,Grand Serene Resort,5,409
Digha,Regal Comfort Hotel,1,88
Digha,Golden Chic Hotel,4,61
Digha,Majestic Vibrant Palace,3,97
Digha,Golden Elegant Palace,5,156
Digha,Regal Serene Haven,5,165
Digha,Premier Classic Palace,5,125
Digha,Royal Comfort Palace,4,59
Digha,Golden Classic Manor,3,342
Digha,Grand Comfort Manor,5,210
Digha,Elite Star Suites,4,222
Digha,Regal Modern Inn,5,297
Digha,Royal Chic Manor,4,221
Digha,Golden Classic Suites,1,185
New Cooch Behar,Premier Star Lodge,1,108
New Cooch Behar,Grand Modern Retreat,4,223
New Cooch Behar,Royal Luxury Palace,2,490
New Cooch Behar,Grand Classic Manor,5,324
New Cooch Behar,Majestic Classic Manor,2,167
New Cooch Behar,Golden Tranquil Plaza,5,202
New Cooch Behar,Elite Chic Retreat,1,246
New Cooch Behar,Grand Chic Hotel,5,404
New Cooch Behar,Noble Comfort Inn,1,139
New Cooch Behar,Golden Elegant Palace,1,405
New Cooch Behar,Regal Tranquil Inn,4,72
New Cooch Behar,Elite Tranquil Resort,4,480
New Cooch Behar,Golden Tranquil Palace,4,202
New Cooch Behar,Premier Comfort Hotel,3,290
New Cooch Behar,Regal Elegant Haven,2,291
New Cooch Behar,Majestic Star Suites,4,337
New Cooch Behar,Silver Comfort Palace,1,159
New Cooch Behar,Noble Vibrant Lodge,1,455
New Cooch Behar,Elite Star Inn,3,93
New Cooch Behar,Grand Vibrant Palace,5,334
Kolkata Chitpur,Golden Modern Plaza,2,433
Kolkata Chitpur,Noble Chic Resort,2,289
Kolkata Chitpur,Majestic Vibrant Plaza,3,341
Kolkata Chitpur,Grand Star Retreat,4,467
Kolkata Chitpur,Imperial Star Hotel,5,386
Kolkata Chitpur,Grand Comfort Retreat,2,469
Kolkata Chitpur,Grand Chic Resort,1,391
Kolkata Chitpur,Elite Classic Retreat,5,485
Kolkata Chitpur,Imperial Luxury Palace,1,312
Kolkata Chitpur,Majestic Luxury Haven,1,344
Kolkata Chitpur,Premier Modern Resort,4,245
Kolkata Chitpur,Golden Vibrant Lodge,4,431
Kolkata Chitpur,Noble Comfort Manor,4,154
Kolkata Chitpur,Premier Serene Resort,2,478
Kolkata Chitpur,Majestic Classic Retreat,4,463
Kolkata Chitpur,Royal Vibrant Palace,2,88
Kolkata Chitpur,Royal Star Retreat,1,123
Kolkata Chitpur,Grand Serene Lodge,1,199
Kolkata Chitpur,Grand Tranquil Suites,1,181
Kolkata Chitpur,Silver Comfort Suites,1,333
Gaya,Noble Comfort Retreat,5,244
Gaya,Regal Luxury Haven,4,334
Gaya,Imperial Vibrant Suites,4,178
Gaya,Silver Serene Suites,1,228
Gaya,Regal Elegant Retreat,3,475
Gaya,Noble Vibrant Retreat,5,162
Gaya,Majestic Chic Palace,3,124
Gaya,Premier Elegant Hotel,1,71
Gaya,Golden Star Haven,4,141
Gaya,Majestic Tranquil Suites,5,281
Gaya,Elite Tranquil Retreat,1,382
Gaya,Elite Modern Plaza,3,484
Gaya,Noble Vibrant Plaza,4,79
Gaya,Royal Vibrant Retreat,2,436
Gaya,Royal Star Hotel,2,483
Gaya,Silver Vibrant Hotel,4,377
Gaya,Elite Serene Inn,1,279
Gaya,Grand Modern Haven,5,341
Gaya,Noble Elegant Suites,2,327
Gaya,Noble Serene Hotel,5,122
Chirmiri,Silver Vibrant Retreat,5,360
Chirmiri,Royal Vibrant Resort,5,229
Chirmiri,Premier Star Lodge,1,191
Chirmiri,Elite Vibrant Lodge,4,172
Chirmiri,Majestic Elegant Plaza,2,248
Chirmiri,Majestic Vibrant Plaza,3,270
Chirmiri,Regal Elegant Manor,4,234
Chirmiri,Elite Tranquil Inn,4,430
Chirmiri,Noble Serene Suites,1,439
Chirmiri,Noble Tranquil Hotel,4,411
Chirmiri,Majestic Classic Inn,1,454
Chirmiri,Regal Star Manor,5,456
Chirmiri,Majestic Chic Haven,4,365
Chirmiri,Elite Modern Plaza,3,476
Chirmiri,Silver Luxury Palace,4,301
Chirmiri,Silver Luxury Resort,5,63
Chirmiri,Silver Tranquil Palace,4,198
Chirmiri,Regal Classic Resort,3,449
Chirmiri,Golden Tranquil Hotel,2,396
Chirmiri,Elite Serene Suites,4,62
Ranchi,Silver Chic Lodge,3,60
Ranchi,Elite Star Lodge,1,238
Ranchi,Premier Classic Hotel,5,295
Ranchi,Premier Classic Haven,1,477
Ranchi,Majestic Tranquil Inn,5,455
Ranchi,Imperial Serene Retreat,2,289
Ranchi,Imperial Classic Retreat,3,60
Ranchi,Royal Elegant Retreat,4,64
Ranchi,Noble Serene Plaza,4,399
Ranchi,Golden Classic Inn,4,216
Ranchi,Elite Chic Retreat,3,82
Ranchi,Silver Elegant Lodge,5,53
Ranchi,Royal Serene Inn,1,367
Ranchi,Regal Tranquil Inn,4,369
Ranchi,Imperial Vibrant Inn,5,93
Ranchi,Imperial Classic Manor,2,164
Ranchi,Premier Comfort Lodge,4,437
Ranchi,Grand Vibrant Palace,3,253
Ranchi,Golden Star Resort,4,318
Ranchi,Premier Luxury Palace,2,431
Belgaum,Silver Tranquil Hotel,2,159
Belgaum,Elite Modern Manor,2,259
Belgaum,Royal Elegant Resort,1,138
Belgaum,Grand Comfort Inn,5,371
Belgaum,Regal Elegant Plaza,4,375
Belgaum,Silver Chic Resort,2,389
Belgaum,Golden Tranquil Suites,4,437
Belgaum,Royal Luxury Inn,5,414
Belgaum,Regal Elegant Hotel,2,336
Belgaum,Grand Comfort Suites,4,162
Belgaum,Imperial Classic Suites,1,311
Belgaum,Grand Serene Haven,5,202
Belgaum,Royal Star Plaza,5,221
Belgaum,Majestic Star Retreat,1,362
